number;standard_number;standard_code;professional_area;professional_type;standard_name;order_Mintrud
"1524";"1281";"40.196";"Сквозные виды профессиональной деятельности";"Сборка интегральных микросхем различного конструктивного исполнения";"Сборщик микросхем";"7н от 15.01.2024"
"1525";"1286";"40.201";"Сквозные виды профессиональной деятельности";"Контроль и испытания радиоэлектронных средств";"Контролер и испытатель радиоэлектронных средств";"5н от 15.01.2024"
"1526";"1291";"20.042";"Электроэнергетика";"Техническое диагностирование оборудования электрических сетей методами испытаний и измерений";"Работник по диагностике оборудования электрических сетей методами испытаний и измерений";"8н от 15.01.2024"
"1527";"1644";"10.033";"Архитектура, проектирование, геодезия, топография и дизайн";"Инженерно-экологические изыскания для градостроительной деятельности";"Специалист в области инженерно-экологических изысканий для градостроительной деятельности";"775н от 24.10.2023"
"1528";"1646";"20.049";"Электроэнергетика";"Техническое обслуживание и ремонт распределительных электрических сетей напряжением 0,4–20 кВ (трансформаторных подстанций, распределительных пунктов, воздушных, кабельных и кабельно-воздушных линий электропередачи) (далее – распределительные сети)";"Работник по обслуживанию распределительных сетей 0,4–20 кВ";"9н от 15.01.2024"
"1529";"1647";"17.140";"Транспорт";"Выполнение комплекса работ по техническому обслуживанию беспилотных авиационных систем, включающих в себя одно или несколько беспилотных воздушных судов максимальной взлетной массой более 30 килограммов и (или) их элементов, для поддержания летной годности";"Специалист по техническому обслуживанию беспилотных авиационных систем в составе с одним или несколькими беспилотными воздушными судами максимальной взлетной массой более 30 килограммов";"824н от 22.11.2023"
"1530";"1664";"33.027";"Сервис, оказание услуг населению (торговля, техническое обслуживание, ремонт, предоставление персональных услуг, услуги гостеприимства, общественное питание и пр.)";"Деятельность по организации и проведению конгрессных мероприятий (собраний, конференций, форумов, съездов, симпозиумов, сателлитов, сессий, гибридных и онлайн-мероприятий)";"Специалист по организации конгрессных мероприятий";"303н от 19.06.2024"
"1531";"1663";"33.026";"Сервис, оказание услуг населению (торговля, техническое обслуживание, ремонт, предоставление персональных услуг, услуги гостеприимства, общественное питание и пр.)";"Деятельность по организации и проведению ярмарок";"Специалист в сфере ярмарочной деятельности";"302н от 19.06.2024"
"1532";"1665";"03.021";"Социальное обслуживание";"Деятельность по дистанционной передаче визуальной информации об окружающем мире лицам с нарушением зрения посредством тифлокомментирования";"Тифлокомментатор";"336н от 08.07.2024"
"1533";"1666";"21.008";"Легкая и текстильная промышленность";"Обеспечение технологических процессов производства спортивных товаров и оборудования, предназначенных для использования детьми";"Технолог производства спортивных товаров и оборудования для детей";"338н от 08.07.2024"
"1534";"1667";"21.009";"Легкая и текстильная промышленность";"Организация и контроль обеспечения качества спортивно-технологической продукции для детей и ее безопасной эксплуатации";"Специалист по обеспечению качества спортивно-технологической продукции для детей";"337н от 08.07.2024"
"1535";"152";"13.014";"Сельское хозяйство";"Организация и выполнение работ по производству продукции пчеловодства";"Пчеловод";"354н от 15.07.2024"
"1536";"347";"16.046";"Строительство и жилищно-коммунальное хозяйство";"Производство малярных работ";"Маляр строительный";"355н от 15.07.2024"
"1537";"365";"23.018";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Ведение технологического процесса варки целлюлозы";"Варщик целлюлозы";"356н от 15.07.2024"
"1538";"417";"16.054";"Строительство и жилищно-коммунальное хозяйство";"Монтаж каркасно-обшивных конструкций (далее – КОК)";"Монтажник каркасно-обшивных конструкций";"365н от 18.07.2024"
"1539";"341";"23.012";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Технический контроль качества и управление качеством продукции деревообрабатывающих производств";"Специалист по контролю качества в деревообрабатывающем производстве";"364н от 18.07.2024"
"1540";"138";"13.010";"Сельское хозяйство";"Эксплуатация машин и оборудования животноводческих комплексов и механизированных ферм для выращивания крупного рогатого скота";"Оператор животноводческих комплексов и механизированных ферм";"376н от 29.07.2024"
"1541";"356";"20.006";"Электроэнергетика";"Оперативное управление гидроэнергетическими объектами – малыми гидроэлектростанциями с установленной мощностью менее 50 МВт (далее – МГЭС)";"Работник по оперативному управлению малыми гидроэлектростанциями";"656н от 10.08.2023"
"1542";"1251";"02.055";"Здравоохранение";"Осуществление деятельности в области функциональной диагностики";"Врач функциональной диагностики";"138н от 11.03.2019"
"1543";"553";"08.025";"Финансы и экономика";"Деятельность по определению стоимостей (цен), оценка объектов гражданских прав, обязательств";"Специалист в оценочной деятельности";"742н от 26.11.2018"
"1544";"1668";"23.060";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Управление работой станков с числовым программным управлением (далее – ЧПУ) при производстве деревянных деталей и конструкций";"Оператор станков с числовым программным управлением по деревянным деталям и конструкциям";"419н от 26.08.2024"
"1545";"1670";"26.039";"Химическое, химико-технологическое производство";"Производство технических спиртов";"Специалист по производству технических спиртов";"413н от 26.08.2024"
"1546";"1671";"40.250";"Сквозные виды профессиональной деятельности";"Осуществление деятельности по формированию умений, отработке профессиональных навыков, передаче техник и технологий для решения организационных, управленческих и маркетинговых задач предпринимательской деятельности (далее – проведение бизнес-тренингов) в коммерческих организациях различной формы собственности различных сфер деятельности, применяющих различные системы налогообложения";"Бизнес-тренер";"418н от 26.08.2024"
"1547";"1672";"21.010";"Легкая и текстильная промышленность";"Решение инженерных задач, связанных с разработкой или совершенствованием текстильных и швейных изделий";"Специалист по инжинирингу текстильного и швейного производства";"432н от 29.08.2024"
"1548";"1669";"32.020";"Авиастроение";"Испытания авиационных газотурбинных двигателей и их составных частей на испытательных стендах (установках)";"Специалист по испытаниям авиационных двигателей на испытательных стендах";"435н от 29.08.2024"
"1549";"1673";"40.251";"Сквозные виды профессиональной деятельности";"Обеспечение функционирования саморегулируемых организаций (далее – СРО) в области инженерных изысканий, архитектурно-строительного проектирования, строительства, реконструкции, капитального ремонта, сноса объектов капитального строительства";"Специалист в области саморегулирования в градостроительной деятельности";"433н от 29.08.2024"
"1550";"323";"23.007";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Выполнение работ по нанесению разных видов покрытия на бумажное полотно";"Оператор установок по нанесению покрытия на бумажное полотно";"422н от 26.08.2024"
"1551";"340";"23.011";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Управление работой сушильных установок для древесины";"Оператор сушильных установок для древесины";"420н от 26.08.2024"
"1552";"344";"23.015";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Управление работой линий по производству плит из древесных материалов";"Оператор линий по производству плит из древесных материалов";"429н от 29.08.2024"
"1553";"377";"23.029";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Управление работой оборудования для производства древесной массы из щепы";"Оператор производства древесной массы из щепы";"430н от 29.08.2024"
"1554";"409";"20.007";"Электроэнергетика";"Планирование водно-энергетических, электроэнергетических и гидрологических режимов работы гидроэлектростанций / гидроаккумулирующих электростанций";"Работник по планированию режимов гидроэлектростанций / гидроаккумулирующих электростанций";"434н от 29.08.2024"
"1555";"727";"23.049";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Управление работой оборудования для производства древесной массы на дефибрерных установках";"Оператор установок производства древесной массы на дефибрерах";"431н от 29.08.2024"
"1556";"729";"23.051";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Промывка целлюлозы в диффузорах";"Диффузорщик целлюлозы";"417н от 26.08.2024"
"1557";"731";"23.053";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Управление оборудованием для роспуска и размола волокнистых материалов при производстве целлюлозы, древесной массы, бумаги и картона";"Размольщик";"416н от 26.08.2024"
"1558";"912";"27.075";"Металлургическое производство";"Организация технологического процесса производства глинозема";"Специалист по производству глинозема";"414н от 26.08.2024"
"1559";"916";"27.079";"Металлургическое производство";"Организация электролизного производства алюминия";"Специалист электролизного производства алюминия";"415н от 26.08.2024"
"1560";"20";"16.004";"Строительство и жилищно-коммунальное хозяйство";"Кремация тел (останков) умерших (погибших), обработка праха";"Работник кремационного комплекса";"450н от 04.09.2024"
"1561";"380";"23.032";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Управление работой линий по производству клееных конструкций из древесины";"Оператор линий по производству клееных конструкций из древесины";"448н от 04.09.2024"
"1562";"730";"23.052";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Управление работой установок массоподготовки в производстве бумаги и картона";"Работник по подготовке массы для производства бумаги и картона";"451н от 04.09.2024"
"1563";"375";"23.027";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Проведение технологического процесса отбелки целлюлозы";"Отбельщик целлюлозы";"452н от 04.09.2024"
"1564";"724";"23.047";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Управление работой автоматических и полуавтоматических линий по производству щепы";"Оператор автоматических и полуавтоматических линий по выработке щепы";"447н от 04.09.2024"
"1565";"787";"16.085";"Строительство и жилищно-коммунальное хозяйство";"Деятельность по обеспечению работоспособности тепловых сетей";"Работник по техническому обслуживанию и эксплуатации оборудования водоподготовки в системах теплоснабжения";"449н от 04.09.2024"
"1566";"3";"03.001";"Социальное обслуживание";"Деятельность по планированию, организации, контролю и предоставлению социальных услуг, мер социальной поддержки и государственной социальной помощи";"Специалист по социальной работе";"455н от 06.09.2024"
"1567";"566";"06.028";"Связь, информационные и коммуникационные технологии";"Создание системного программного обеспечения";"Системный программист";"678н от 29.09.2020"
"1568";"1681";"17.142";"Транспорт";"Разработка, внедрение в производство технологических процессов на железнодорожном транспорте и технологическая подготовка производства по текущему ремонту и техническому обслуживанию железнодорожного подвижного состава, объектов железнодорожной инфраструктуры";"Специалист по разработке и внедрению в производство технологических процессов на железнодорожном транспорте";"469н от 18.09.2024"
"1569";"1682";"17.143";"Транспорт";"Организация и выполнение работ по эксплуатации, ремонту и техническому обслуживанию (текущему содержанию) технологического оборудования, зданий и сооружений производственных участков объектов железнодорожной инфраструктуры";"Специалист по эксплуатации, ремонту и техническому обслуживанию (текущему содержанию) технологического оборудования, зданий и сооружений производственных участков объектов железнодорожной инфраструктуры";"472н от 18.09.2024"
"1570";"1678";"10.036";"Архитектура, проектирование, геодезия, топография и дизайн";"Проектирование технологических решений тепловых электростанций";"Специалист в области проектирования технологических решений тепловых электростанций";"473н от 18.09.2024"
"1571";"1679";"10.037";"Архитектура, проектирование, геодезия, топография и дизайн";"Проектирование линий электропередачи и иных объектов электросетевого хозяйства для объектов капитального строительства, реконструкции, модернизации, технического перевооружения, капитального ремонта, а также их ликвидации";"Специалист в области проектирования линий электропередачи и иных объектов электросетевого хозяйства";"474н от 18.09.2024"
"1572";"1674";"19.085";"Добыча, переработка, транспортировка нефти и газа";"Осуществление заправки воздушных судов авиационными горюче-смазочными материалами (далее – авиационными ГСМ)";"Работник авиатопливообеспечения";"475н от 18.09.2024"
"1573";"1676";"24.138";"Атомная промышленность";"Выполнение детерминистического анализа безопасности (далее – ДАБ) атомных электростанций (далее – АЭС)";"Специалист в области детерминистического анализа безопасности для атомных электростанций";"476н от 18.09.2024"
"1574";"1677";"10.035";"Архитектура, проектирование, геодезия, топография и дизайн";"Проектирование технологических решений объектов производства строительных материалов, изделий и конструкций для объектов капитального строительства";"Специалист в области проектирования технологических решений объектов производства строительных материалов, изделий и конструкций";"493н от 23.09.2024"
"1575";"1683";"17.144";"Транспорт";"Деятельность по проведению поездных испытаний тормозов и контроля управлением тормозами в поездах на железнодорожном транспорте";"Специалист по организации и проведению поездных испытаний тормозов и контроля за управлением тормозами в поездах на железнодорожном транспорте";"488н от 23.09.2024"
"1576";"1198";"19.060";"Добыча, переработка, транспортировка нефти и газа";"Организация эксплуатации электрооборудования объектов нефтегазовой отрасли";"Специалист по эксплуатации электрооборудования объектов нефтегазовой отрасли";"477н от 18.09.2024"
"1577";"427";"19.023";"Добыча, переработка, транспортировка нефти и газа";"Маркшейдерские работы в нефтегазовой отрасли";"Специалист по маркшейдерским работам в нефтегазовой отрасли";"496н от 23.09.2024"
"1578";"1675";"24.137";"Атомная промышленность";"Эксплуатация технологического оборудования конденсационно-испарительных установок, установок перелива гексафторида урана (далее – ГФУ) и установок обесфторивания ГФУ в процессе его переработки";"Аппаратчик технологических установок по переработке гексафторида урана разделительно-сублиматного комплекса атомной отрасли";"495н от 23.09.2024"
"1579";"1680";"10.038";"Архитектура, проектирование, геодезия, топография и дизайн";"Проектирование наружных слаботочных сетей";"Специалист в области проектирования наружных слаботочных сетей";"494н от 23.09.2024"
"1580";"1135";"08.036";"Финансы и экономика";"Реализация инвестиционных проектов с применением разных форм финансирования";"Специалист по работе с инвестиционными проектами";"497н от 23.09.2024"
"1581";"1169";"16.145";"Строительство и жилищно-коммунальное хозяйство";"Наладка, техническая эксплуатация, обслуживание и текущий ремонт средств релейной защиты и автоматики (далее – РЗиА) в муниципальных электрических сетях";"Работник по наладке и эксплуатации релейной защиты и автоматики в муниципальных электрических сетях";"489н от 23.09.2024"
"1582";"772";"16.074";"Строительство и жилищно-коммунальное хозяйство";"Очистка и обеззараживание сточных вод";"Оператор по доочистке и обеззараживанию очищенных стоков";"492н от 23.09.2024"
"1583";"770";"16.072";"Строительство и жилищно-коммунальное хозяйство";"Очистка сточных вод в системах водоотведения";"Оператор на отстойниках и аэротенках систем водоотведения";"491н от 23.09.2024"
"1584";"1197";"19.059";"Добыча, переработка, транспортировка нефти и газа";"Абонентское обслуживание потребителей газа, приобретающих газ для обеспечения коммунально-бытовых нужд (далее – абоненты)";"Работник по абонентскому обслуживанию газового хозяйства";"471н от 18.09.2024"
"1585";"820";"19.035";"Добыча, переработка, транспортировка нефти и газа";"Осуществление аварийно-восстановительных и ремонтных работ (далее – АВиР-работы) на объектах газовой отрасли";"Работник по аварийно-восстановительным и ремонтным работам в газовой отрасли";"470н от 18.09.2024"
"1586";"460";"24.030";"Атомная промышленность";"Обеспечение радиационной и экологической безопасности при эксплуатации плавучих атомных станций (далее – ПАТЭС)";"Специалист по экологической и радиационной безопасности плавучих атомных станций";"468н от 18.09.2024"
"1587";"253";"19.002";"Добыча, переработка, транспортировка нефти и газа";"Переработка нефти, газа и химического сырья";"Специалист по химической переработке нефти, газа и химического сырья";"490н от 23.09.2024"
"1588";"488";"24.038";"Атомная промышленность";"Эксплуатация систем и оборудования плавучих атомных электростанций (далее – ПАТЭС)";"Специалист по эксплуатации систем и оборудования плавучих атомных станций";"507н от 25.09.2024"
"1589";"824";"17.036";"Транспорт";"Доставка, прием и обработка поездной информации и перевозочных документов железнодорожного транспорта, управление процессом обработки поездной информации и перевозочных документов железнодорожного транспорта";"Работник по обработке поездной информации и перевозочных документов железнодорожного транспорта";"508н от 25.09.2024"
"1590";"743";"05.009";"Физическая культура и спорт";"Обеспечение эксплуатационного состояния спортивного инвентаря и оборудования";"Специалист по обслуживанию и ремонту спортивного инвентаря и оборудования";"506н от 25.09.2024"
"1591";"1692";"23.061";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Дизайн и проектирование изделий мебели в условиях серийного и заказного производства";"Дизайнер-конструктор мебели";"539н от 09.10.2024"
"1592";"1690";"30.034";"Судостроение";"Наладка, регулировка, техническое обслуживание, ремонт и проведение испытаний систем теплотехнического контроля и автоматического регулирования (далее – СТКиАР) судовых атомных энергетических установок (далее – САЭУ)";"Наладчик систем теплотехнического контроля и автоматического регулирования судовых атомных энергетических установок";"540н от 09.10.2024"
"1593";"1688";"10.039";"Архитектура, проектирование, геодезия, топография и дизайн";"Разработка мероприятий по охране окружающей среды автомобильных дорог, мостовых сооружений и транспортных тоннелей";"Специалист в области разработки мероприятий по охране окружающей среды при проектировании автомобильных дорог, мостовых сооружений и транспортных тоннелей";"554н от 14.10.2024"
"1594";"569";"40.106";"Сквозные виды профессиональной деятельности";"Эксплуатация оборудования котельных";"Работник по эксплуатации оборудования, работающего под избыточным давлением, котлов и трубопроводов пара";"534н от 09.10.2024"
"1595";"70";"24.016";"Атомная промышленность";"Психологическое и психофизиологическое сопровождение деятельности персонала атомной станции (далее – АС)";"Специалист лаборатории психофизиологического обеспечения атомной станции";"535н от 09.10.2024"
"1596";"308";"27.020";"Металлургическое производство";"Выплавка стали в электропечах";"Сталевар электропечи";"531н от 09.10.2024"
"1597";"373";"23.026";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Контроль качества продукции в деревообрабатывающем производстве";"Контролер качества продукции деревообрабатывающих производств";"537н от 09.10.2024"
"1598";"695";"23.045";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Проектирование мебели и конструкций из древесины и древесных материалов в специализированных системах автоматизированного проектирования (далее – САПР)";"Специалист систем автоматизированного проектирования мебели и конструкций из древесины и древесных материалов";"538н от 09.10.2024"
"1599";"790";"20.025";"Электроэнергетика";"Эксплуатация оборудования, трубопроводов и арматуры тепловых сетей";"Работник по эксплуатации оборудования, трубопроводов и арматуры тепловых сетей";"541н от 09.10.2024"
"1600";"1294";"17.088";"Транспорт";"Сопровождение локомотивов (моторвагонного подвижного состава, пассажирских вагонов) в недействующем состоянии, груза и спецвагонов в пути следования";"Работник по сопровождению локомотивов (моторвагонного подвижного состава, пассажирских вагонов) в недействующем состоянии, груза и спецвагонов в пути следования";"545н от 09.10.2024"
"1601";"971";"16.111";"Строительство и жилищно-коммунальное хозяйство";"Эксплуатация строительных подъемников";"Машинист строительного подъемника";"532н от 09.10.2024"
"1602";"887";"17.042";"Транспорт";"Контроль технического состояния пассажирского поезда и организация обслуживания пассажиров в пути следования пассажирского (туристского) поезда";"Специалист пассажирского (туристского) поезда";"544н от 09.10.2024"
"1603";"886";"17.041";"Транспорт";"Руководство производственно-хозяйственной деятельностью разъезда, обгонного пункта, путевого поста, железнодорожной станции и управление рисками в вопросах обеспечения безопасности движения и охраны труда на железнодорожной станции";"Специалист по организации работы железнодорожной станции и обеспечению безопасности движения";"542н от 09.10.2024"
"1604";"1248";"02.052";"Здравоохранение";"Врачебная практика в области гастроэнтерологии";"Врач-гастроэнтеролог";"139н от 11.03.2019"
"1605";"1221";"02.041";"Здравоохранение";"Врачебная практика в области нефрологии";"Врач-нефролог";"712н от 20.11.2018"
"1606";"1387";"02.079";"Здравоохранение";"Врачебная практика в области трансфузиологии";"Врач-трансфузиолог";"5н от 13.01.2021"
"1607";"1559";"02.088";"Здравоохранение";"Врачебная практика в области профессиональной патологии";"Врач-профпатолог";"732н от 22.11.2022"
"1608";"1691";"14.015";"Лесное хозяйство, охота";"Выполнение работ по охране и защите лесов";"Мастер леса";"558н от 14.10.2024"
"1609";"1686";"27.119";"Металлургическое производство";"Организационно-техническое обеспечение и ведение маркшейдерских работ";"Маркшейдер";"561н от 14.10.2024"
"1610";"1689";"10.040";"Архитектура, проектирование, геодезия, топография и дизайн";"Проектирование организации строительства, сноса и демонтажа, продления срока эксплуатации, консервации и расконсервации объектов капитального строительства";"Специалист по разработке проектов организации строительства, сноса и демонтажа, продления срока эксплуатации, консервации и расконсервации объектов капитального строительства";"555н от 14.10.2024"
"1611";"1684";"13.024";"Сельское хозяйство";"Селекция продуктивных животных";"Специалист по селекции и генетике в животноводстве";"564н от 14.10.2024"
"1612";"1685";"13.025";"Сельское хозяйство";"Селекция и семеноводство сельскохозяйственных растений";"Специалист по семеноводству, селекции и генетике в растениеводстве";"563н от 14.10.2024"
"1613";"1687";"27.120";"Металлургическое производство";"Управление технологическим процессом приема, усреднения в миксерах и выдачи чугуна";"Миксеровой";"556н от 14.10.2024"
"1614";"751";"16.070";"Строительство и жилищно-коммунальное хозяйство";"Размещение и обезвреживание твердых коммунальных отходов на полигонах";"Работник по эксплуатации полигона твердых коммунальных отходов";"557н от 14.10.2024"
"1615";"290";"23.001";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Приготовление химических растворов в открытых и закрытых аппаратах различных типов";"Аппаратчик приготовления химических растворов";"559н от 14.10.2024"
"1616";"1203";"14.012";"Лесное хозяйство, охота";"Организация и контроль использования, восстановления, охраны и защиты лесов";"Инженер по лесопользованию, лесовосстановлению, охране и защите лесов";"560н от 14.10.2024"
"1617";"1393";"16.151";"Строительство и жилищно-коммунальное хозяйство";"Информационное моделирование объектов капитального строительства (далее – ОКС)";"Специалист в сфере информационного моделирования в строительстве";"562н от 14.10.2024"
"1618";"903";"27.066";"Металлургическое производство";"Организация и проведение химического анализа в металлургическом производстве";"Работник химического анализа в металлургии";"565н от 14.10.2024"
"1619";"297";"27.012";"Металлургическое производство";"Термическая обработка проката и труб";"Термист проката и труб";"568н от 16.10.2024"
"1620";"929";"27.089";"Металлургическое производство";"Управление грузоподъемными кранами металлургического производства";"Машинист крана металлургического производства";"575н от 21.10.2024"
"1621";"923";"18.002";"Добыча, переработка угля, руд и других полезных ископаемых";"Ведение технологических процессов дробления и измельчения рудных и нерудных материалов";"Машинист дробильно-помольных установок";"574н от 21.10.2024"
"1622";"970";"40.165";"Сквозные виды профессиональной деятельности";"Выполнение работ подъемниками с рабочими платформами по перемещению рабочего персонала с инструментом и материалами, размещенного на рабочей платформе, при проведении работ в пределах рабочей зоны";"Машинист (оператор) подъемника с рабочей платформой";"533н от 09.10.2024"
"1623";"1196";"17.071";"Транспорт";"Эксплуатация беспилотных авиационных систем, включающих в себя одно или несколько беспилотных воздушных судов с максимальной взлетной массой 30 килограммов и менее";"Специалист по эксплуатации беспилотных авиационных систем, включающих в себя одно или несколько беспилотных воздушных судов с максимальной взлетной массой 30 кг и менее";"526н от 14.09.2022"
"1624";"1225";"02.044";"Здравоохранение";"Врачебная практика в области травматологии и ортопедии";"Врач – травматолог-ортопед";"698н от 12.11.2018"
