number;standard_number;standard_code;professional_area;professional_type;standard_name;order_Mintrud
"783";"1269";"26.021";"Химическое, химико-технологическое производство";"Контроль качества наноструктурированных лекарственных средств";"Специалист по контролю и проведению испытаний качества наноструктурированных лекарственных средств";"599н от 30.08.2019"
"784";"413";"19.016";"Добыча, переработка, транспортировка нефти и газа";"Диагностирование трубопроводов и технологического оборудования газовой отрасли";"Специалист по диагностике трубопроводов и технологического оборудования газовой отрасли";"601н от 30.08.2019"
"785";"1324";"18.005";"Добыча, переработка угля, руд и других полезных ископаемых";"Вспомогательные работы, связанные с подземной добычей угля, проведением и эксплуатацией горных выработок";"Горнорабочий подземный";"341н от 15.06.2020"
"786";"1325";"18.006";"Добыча, переработка угля, руд и других полезных ископаемых";"Проведение подземных горных выработок";"Проходчик подземный";"340н от 15.06.2020"
"787";"1396";"18.007";"Добыча, переработка угля, руд и других полезных ископаемых";"Управление подземными установками и их обслуживание";"Машинист подземных установок";"759н от 29.10.2020"
"788";"1438";"04.015";"Культура, искусство";"Профессиональный перевод и управление переводческими проектами и процессами";"Специалист в области перевода";"134н от 18.03.2021"
"789";"1505";"40.231";"Сквозные виды профессиональной деятельности";"Сопровождение процесса производства на инжекционно-литьевой машине (термопластавтомате) деталей и изделий из композиционных полимерных материалов";"Специалист по производству изделий из композиционных полимерных материалов методом литья под давлением";"729н от 19.10.2021"
"790";"1413";"17.112";"Транспорт";"Организация эксплуатации, технического обслуживания и ремонта пассажирской подвесной канатной дороги и фуникулера";"Технический руководитель - начальник пассажирской подвесной канатной дороги";"61н от 11.02.2021"
"791";"604";"24.067";"Атомная промышленность";"Измерение радиационных характеристик радиоактивных отходов (далее - РАО)";"Инженер по измерению и учету радиационных характеристик радиоактивных отходов";"633н от 22.09.2020"
"792";"1428";"18.008";"Добыча, переработка угля, руд и других полезных ископаемых";"Выполнение механизированных работ с применением бульдозера при разработке месторождений полезных ископаемых";"Машинист бульдозера на горных работах";"165н от 30.03.2021"
"793";"1296";"26.022";"Химическое, химико-технологическое производство";"Разработка рецептуры наноструктурированных лекарственных средств";"Специалист-исследователь по разработке рецептуры наноструктурированных лекарственных средств";"613н от 10.09.2019"
"794";"1409";"20.046";"Электроэнергетика";"Эксплуатация оборудования солнечных электростанций (далее - СЭС)";"Работник по эксплуатации оборудования солнечных электростанций";"955н от 24.12.2020"
"795";"1454";"17.118";"Транспорт";"Организация технического обслуживания и текущего ремонта пассажирских обустройств железнодорожного транспорта";"Специалист по техническому обслуживанию и текущему ремонту пассажирских обустройств железнодорожного транспорта";"246н от 14.04.2021"
"796";"1452";"17.117";"Транспорт";"Прессовые работы при ремонте и формировании колесных пар железнодорожного подвижного состава";"Прессовщик колесных пар железнодорожного подвижного состава";"217н от 06.04.2021"
"797";"1447";"28.011";"Производство машин и оборудования";"Планово-экономическое обеспечение деятельности машиностроительных организаций";"Инженер-экономист машиностроительной организации";"245н от 14.04.2021"
"798";"1394";"10.013";"Архитектура, проектирование, геодезия, топография и дизайн";"Выполнение работ и оказание услуг географической направленности";"Географ (Специалист по выполнению работ и оказанию услуг географической направленности)";"954н от 24.12.2020"
